what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227794975406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227794978828
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227794982000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227794982937
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227794987109
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227794989890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795000859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795007328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227795012281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227795014187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795019546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795031875
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227795035625
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1227795042703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795047796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795049187
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227795050890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795055250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795062859
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227795067781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795071031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227795091250
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1227795096312
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1227795096812
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1227795096843
