what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1227188810828
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.publish,1227188811546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188814125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188835312
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227188836625
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227188842281
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227188842406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188858281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188873453
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227188873468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188891390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188895359
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1227188899093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227188911937
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1227188914953
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.publish,1227188915312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188916062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188916453
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227188916453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188916796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227188928578
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1227188931890
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227188933828
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227188943156
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227188947640
