what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227791799312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791808171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791810421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791815187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791920484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791922265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791950109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791952015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791953734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791954515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791960734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791961781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227791999546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227792000546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227792001968
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227792003421
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1227792008687
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1227792008765
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1227792008812
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1227792024359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227792028625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227792028843
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1227792031484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227792034437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227792034656
