what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200808140615,org.eclipse.datatools.sqltools.sql,1227621491171
started,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200808140615,org.eclipse.datatools.sqltools.debugger.core,1227621492312
started,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor,1227621492390
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1227621492562
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1227621492593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621492640
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1227621495890
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1227621496187
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1227621496250
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227621501265
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1227621503046
closed,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor,1227621503046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227621504656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621511921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621519671
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordPrevious,1227621547640
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordPrevious,1227621551421
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordPrevious,1227621565796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621577953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621582484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227621604812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227621608875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621617609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227621625593
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227621628984
